,návaznost,linka,spoj,dopravce,tč,příjezd,čeká,odjezd,zastávka,vyčká (min),typ,linka ,spoj ,dopravce ,z/doZast,nav.čas,časDoSetkání (min),typ výstupu
403,navazuje,630095,23,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice",10,16:58,,16:58,Dřevěnice,,A,630095,26,"7/2 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Hořice","Jičín,,aut.st. (přímý vůz)",17:00,2,Tisk na JŘ+převod do strojků USVC
404,navazuje,630095,55,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín",23,7:01,,7:01,"Kyje,obec",,A,630095,6,"7/1 BusLine KHK s.r.o.,Na Rovinkách 211,Semily, Na Rovinkách 211, Semily, stř. Jičín","Jičín,,aut.st. (přímý vůz)",7:02,1,Tisk na JŘ+převod do strojků USVC
408,navazuje,630508,2,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",1,4:40,,4:40,"Vysoké Veselí,nám.",,A,610610,2,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové","Nový Bydžov,,Terminál",4:41,1,Převod do strojků USVC
725,navazuje,650620,9,"501/30 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Chrudim",23,6:57,,6:57,"Lázně Bohdaneč,aut.nádr.",,A,650637,1,"501/30 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Chrudim",Chlumec n. Cidlinou,6:58,1,Převod do strojků USVC
1,navazuje,610010,13,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",22,18:02,,18:02,"Hořiněves,hospoda u Šáfrů",,A,610210,1,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují","Jaroměř,,žel.st. (přímý vůz)",18:03,1,Tisk na JŘ+převod do strojků USVC
2,navazuje,610020,7,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",14,9:35,,9:35,"Hořiněves,hospoda u Šáfrů",,A,610210,9,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Jaroměře,9:36,1,Tisk na JŘ+převod do strojků USVC
4,navazuje,610020,17,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",14,19:35,,19:35,"Hořiněves,hospoda u Šáfrů",,A,610210,37,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Račic n.Trotinou (přímý vůz),19:36,1,Tisk na JŘ+převod do strojků USVC
5,navazuje,610020,101,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",14,10:33,,10:33,"Hořiněves,hospoda u Šáfrů",,A,610210,101,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Smiřic (přímý vůz),10:34,1,Tisk na JŘ+převod do strojků USVC
6,navazuje,610020,103,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",14,13:33,,13:33,"Hořiněves,hospoda u Šáfrů",,A,610210,103,"501/10 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Hradec Králové",Habřiny (přímý vůz),13:34,1,Tisk na JŘ+převod do strojků USVC
7,navazuje,610020,105,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",14,18:33,,18:33,"Hořiněves,hospoda u Šáfrů",,A,610210,107,"501/70 ARRIVA VÝCHODNÍ ČECHY a.s., , provozní oblast Nové Město nad Metují",Habřiny (přímý vůz),18:34,1,Tisk na JŘ+převod do strojků USVC
