WKT,OBJECTID,CRZ,OZNACNIK1,OZNACNIK2,CRZ_OZNACN,"TARIF_NAZE,C,250"
POINT (15.9007873936037 50.5594971649651),3954,36546,2,2,3654602,Trutnov-Družba
POINT (15.8791418875261 50.5936024369428),3955,36547,1,1,3654701,Trutnov-Hor.Staré Město Internát
POINT (15.8790522390501 50.5934301593844),3956,36547,2,2,3654702,Trutnov-Hor.Staré Město Internát
POINT (15.87812653361 50.5958254691599),3957,36548,1,1,3654801,Trutnov-Hor.Staré Město rozc.Babí
POINT (15.8779118085578 50.5959145617615),3958,36548,2,2,3654802,Trutnov-Hor.Staré Město rozc.Babí
POINT (15.8788617076406 50.5885197048756),3959,36549,1,1,3654901,Trutnov-Hor.Staré Město rozc.Peklo
POINT (15.8791239071909 50.5888550049632),3960,36549,2,2,3654902,Trutnov-Hor.Staré Město rozc.Peklo
POINT (15.8855879899915 50.5867993530058),3961,36550,3,3,3655003,Trutnov-Hor.Staré Město sídl.
POINT (15.8852959469258 50.5870483642603),3962,36550,2,2,3655002,Trutnov-Hor.Staré Město sídl.
POINT (15.8836393098681 50.5892757604146),3963,36551,1,1,3655101,Trutnov-Hor.Staré Město Texlen
POINT (15.8833426092635 50.5893028743964),3964,36551,2,2,3655102,Trutnov-Hor.Staré Město Texlen
POINT (15.8910696519346 50.5817863226667),3965,36552,1,1,3655201,Trutnov-Hor.Staré Město Zel.louka
POINT (15.8908343483088 50.5817473176901),3966,36552,2,2,3655202,Trutnov-Hor.Staré Město Zel.louka
POINT (15.9034358744199 50.5671614669987),3967,36553,1,1,3655301,Trutnov-Horská Šestidomí
POINT (15.9015269075596 50.5679292050341),3968,36553,2,2,3655302,Trutnov-Horská Šestidomí
POINT (15.9326442070471 50.5699967050019),3969,36554,1,1,3655401,Trutnov-hosp.družstvo
POINT (15.932968606592 50.5703392052127),3970,36554,2,2,3655402,Trutnov-hosp.družstvo
POINT (15.9032630330042 50.555766815714),3971,50918,1,1,5091801,Trutnov-hřbitov
POINT (15.9118347075889 50.559300804852),3972,36555,2,2,3655502,Trutnov-Na Struze
POINT (15.9099431063117 50.5593122051992),3973,36555,1,1,3655501,Trutnov-Na Struze
POINT (15.9295008068113 50.5669731047626),3974,36556,1,1,3655601,Trutnov-Náchodská
POINT (15.927465307496 50.566672205168),3975,36556,2,2,3655602,Trutnov-Náchodská
POINT (15.9188744064965 50.5632106047367),3976,36557,1,1,3655701,Trutnov-Polská
POINT (15.9196822069854 50.5637200049908),3977,36557,2,2,3655702,Trutnov-Polská
POINT (15.9175400072636 50.5618336050412),3978,36542,2,2,3654202,Trutnov-u kina
POINT (15.9171894071298 50.5616869047855),3979,36542,1,1,3654201,Trutnov-u kina
POINT (15.9103317071697 50.5648289048355),3980,50919,1,1,5091901,Trutnov-žel.st.
POINT (15.9103486072184 50.5649728055377),3981,50919,2,2,5091902,Trutnov-žel.st.
POINT (15.8876805091738 50.6121743383876),3982,36559,1,1,3655901,"Trutnov,Babí,dol.zast."
POINT (15.8871248048953 50.611966712372),3983,36559,2,2,3655902,"Trutnov,Babí,dol.zast."
POINT (15.9065952161095 50.6238672853447),3984,36560,1,1,3656001,"Trutnov,Babí,hor.zast."
POINT (15.9067221503652 50.624187262356),3985,36560,2,2,3656002,"Trutnov,Babí,hor.zast."
POINT (15.9055115836929 50.631596817861),3986,36561,1,1,3656101,"Trutnov,Babí,pevnost"
POINT (15.9050162960742 50.6319208274807),3987,36561,2,2,3656102,"Trutnov,Babí,pevnost"
POINT (15.8974328640302 50.6157227234755),3988,36562,1,1,3656201,"Trutnov,Babí,pož.zbroj."
POINT (15.8971425790807 50.615722302251),3989,36562,2,2,3656202,"Trutnov,Babí,pož.zbroj."
POINT (15.9751128064838 50.5501544053911),3990,36563,1,1,3656301,"Trutnov,Bohuslavice"
POINT (15.9747681068924 50.5503778048475),3991,36563,2,2,3656302,"Trutnov,Bohuslavice"
POINT (15.9791608069561 50.5412306050287),3992,36564,1,1,3656401,"Trutnov,Bohuslavice,Adamov"
POINT (15.9791556073302 50.5413169055238),3993,36564,2,2,3656402,"Trutnov,Bohuslavice,Adamov"
POINT (15.8978270737248 50.5714074724386),3994,55132,1,1,5513201,"Trutnov,Horská,závod"
