kód,název,typ objektu,poč. vyhl.,poč. souč.,okres,dat. vyhl.,dat. zruš.,orgány ochrany přírody
101692,Dub Labe,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Smiřice
101693,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101694,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Třebechovice pod Orebem
101695,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,MÚ Třebechovice pod Orebem
101696,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101697,Lípa srdčitá,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101698,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101700,Dub letní,Jednotlivý strom,1,1,Hradec Králové,23.08.1983,,Magistrát města Hradec Králové
101701,Jasan ve Skřivanech,Jednotlivý strom,1,1,Hradec Králové,03.09.1998,,MÚ Nový Bydžov
104599,Platan javorolistý,Jednotlivý strom,1,1,Náchod,09.09.2005,,MÚ Jaroměř
104600,Dub letní,Jednotlivý strom,1,1,Náchod,07.09.2005,,MÚ Jaroměř
104603,Lípa velkolistá /Tilia platyphyllos SCOP./,Jednotlivý strom,1,1,Rychnov nad Kněžnou,21.09.2005,,MÚ Rychnov nad Kněžnou
104618,Jírovec maďal /Aesculum hippocastanum/,Jednotlivý strom,1,1,Rychnov nad Kněžnou,15.10.2005,,MÚ Rychnov nad Kněžnou
104619,Javor mléč /Acer platanoides L./,Jednotlivý strom,1,1,Rychnov nad Kněžnou,15.10.2005,,MÚ Rychnov nad Kněžnou
104670,Lípy v Josefově,Skupina stromů,3,3,Náchod,02.11.2005,,MÚ Jaroměř
104725,Morávkův buk,Jednotlivý strom,1,1,Jičín,14.04.2006,,MÚ Nová Paka
104763,Jinan dvoulaločný-Ginkgo biloba,Jednotlivý strom,1,1,Náchod,22.08.2006,,MÚ Jaroměř
104766,Lípa Františka Josefa I. a Lípa císařovny Alžběty (Sissi),Skupina stromů,2,2,Náchod,22.08.2006,,MÚ Jaroměř
104799,Dub v Zámostí na návsi,Jednotlivý strom,1,1,Jičín,16.08.2006,,AOPK ČR - RP Liberecko
104802,Dub letní / 7ks a jasan ztepilý / 1ks,Stromořadí,8,8,Hradec Králové,02.05.2002,,Magistrát města Hradec Králové
104805,Roškopovská babyka,Jednotlivý strom,1,1,Jičín,12.09.2006,,MÚ Nová Paka
104842,Borovice v Horní Kalné,Jednotlivý strom,1,1,Trutnov,26.01.2007,,MÚ Vrchlabí
104864,Lípa v Suchovršicích,Skupina stromů,2,1,Trutnov,06.03.2007,,MÚ Úpice
104869,Vrchlabský javor mléč,Jednotlivý strom,1,1,Trutnov,11.04.2007,,MÚ Vrchlabí
104882,Lípy u kaple Sv. Antonína,Skupina stromů,3,1,Rychnov nad Kněžnou,21.10.2006,,AOPK ČR - RP Východní Čechy
104883,Lípy u křížku na Nebeské Rybné,Skupina stromů,2,2,Rychnov nad Kněžnou,21.10.2006,,AOPK ČR - RP Východní Čechy
104884,Lípa na Šedivinách,Jednotlivý strom,1,1,Rychnov nad Kněžnou,08.01.2003,,AOPK ČR - RP Východní Čechy
104934,Dub letní 6 ks,Stromořadí,6,6,Hradec Králové,14.09.2005,,MÚ Nechanice
104935,Habr Na horách,Jednotlivý strom,1,1,Jičín,05.08.1996,,MÚ Kopidlno
104936,Lípa v Želejově,Jednotlivý strom,1,1,Jičín,15.05.1998,,MÚ Hořice
104937,Stará lípa,Jednotlivý strom,1,1,Jičín,07.08.1996,,MÚ Kopidlno
104938,Staré lípy,Skupina stromů,2,1,Jičín,07.08.1996,,MÚ Kopidlno
104939,Jírovce Staré Hrady,Skupina stromů,2,2,Jičín,07.08.1996,,MÚ Kopidlno
104944,Lípa srdčitá,Jednotlivý strom,1,1,Rychnov nad Kněžnou,27.06.2000,,MÚ Vamberk
104945,Lípa srdčitá u cesty na Hradisko,Jednotlivý strom,1,1,Rychnov nad Kněžnou,27.06.2000,,MÚ Vamberk
104948,Lípa v Podemládí,Jednotlivý strom,1,1,Jičín,05.08.1996,,MÚ Hořice
104950,Kostelecká lípa,Jednotlivý strom,1,1,Jičín,02.05.1996,,MÚ Jičín
104951,Jasan americký,Jednotlivý strom,1,1,Jičín,19.02.1996,,MÚ Jičín
104953,Velešická lípa,Jednotlivý strom,1,1,Jičín,19.02.1996,,MÚ Jičín
104955,Lípa srdčitá,Jednotlivý strom,1,1,Jičín,06.05.1996,,MÚ Nová Paka
104956,Předslavská lípa,Jednotlivý strom,1,1,Jičín,03.09.1996,,MÚ Nová Paka
104957,Jasan ztepilý,Jednotlivý strom,1,1,Jičín,23.08.2004,,MÚ Lázně Bělohrad
104958,Lípa velkolistá v Hrobičanech,Jednotlivý strom,1,1,Jičín,15.04.2005,,MÚ Jičín
104959,Dub u Dětenic,Jednotlivý strom,1,1,Jičín,05.08.1996,,MÚ Kopidlno
104960,Dub letní,Jednotlivý strom,1,1,Jičín,05.08.1996,,MÚ Lázně Bělohrad
