OBOR,OBOR_NAZEV,DELKA VZDELAVANI,DRUH VZDELAVANI,FORMA VZDELAVANI,1. ROCNIK,2. ROCNIK,3. ROCNIK,4. ROCNIK,5. ROCNIK,6. ROCNIK,7. ROCNIK,8. ROCNIK,ZACI_CELKEM
  6651E01 ,Prodavačské práce,30,21,10,38,32,23,0,0,0,0,0,93
  6651H01 ,Prodavač,30,21,10,12,20,21,0,0,0,0,0,53
  6652H01 ,Aranžér,30,21,10,32,28,20,0,0,0,0,0,80
  6653H01 ,Operátor skladování,30,21,10,14,7,0,0,0,0,0,0,21
  6842M01 ,Bezpečnostně právní činnost,40,41,10,30,30,0,0,0,0,0,0,60
  6843M01 ,Veřejnosprávní činnost,40,41,10,30,30,48,45,0,0,0,0,153
  6941L01 ,Kosmetické služby,40,41,10,42,32,58,37,0,0,0,0,169
  6941L02 ,Masér sportovní a rekondiční,40,41,10,14,0,0,0,0,0,0,0,14
  6951H01 ,Kadeřník,30,21,10,137,105,94,0,0,0,0,0,336
  6954E01 ,Provozní služby,20,21,10,12,12,0,0,0,0,0,0,24
  7241M01 ,Informační služby,40,41,10,5,24,14,0,0,0,0,0,43
  7531M01 ,Předškolní a mimoškolní pedagogika,40,41,10,34,30,30,32,0,0,0,0,126
  7541E01 ,Pečovatelské služby,30,21,10,29,17,16,0,0,0,0,0,62
  7541M01 ,Sociální činnost,40,41,10,75,62,54,62,0,0,0,0,253
  7842M01 ,Technické lyceum,40,41,10,30,28,28,29,0,0,0,0,115
  7842M02 ,Ekonomické lyceum,40,41,10,55,60,52,57,0,0,0,0,224
  7842M04 ,Zdravotnické lyceum,40,41,10,81,88,86,90,0,0,0,0,345
  7842M05 ,Přírodovědné lyceum,40,41,10,0,0,0,7,0,0,0,0,7
  7862C01 ,Praktická škola jednoletá,10,10,10,30,0,0,0,0,0,0,0,30
  7862C02 ,Praktická škola dvouletá,20,10,10,32,45,0,0,0,0,0,0,77
  7941K41 ,Gymnázium,40,41,10,576,545,523,539,0,0,0,0,2183
  7941K61 ,Gymnázium,60,41,10,179,167,163,161,167,161,0,0,998
  7941K81 ,Gymnázium,80,41,10,328,320,313,317,273,272,253,266,2342
  8241M01 ,Užitá malba,40,41,10,10,10,6,11,0,0,0,0,37
  8241M04 ,Průmyslový design,40,41,10,13,0,16,0,0,0,0,0,29
  8241M05 ,Grafický design,40,41,10,25,23,20,23,0,0,0,0,91
  8241M07 ,Modelářství a návrhářství oděvů,40,41,10,8,8,3,10,0,0,0,0,29
  8241M11 ,Design interiéru,40,41,10,10,27,0,28,0,0,0,0,65
