NA,573965,Červený Kostelec,8 352,"43,4",-3%,323,4,8598,-3%,337,4,"2,2",255,3,1044,125,239,3,10 906 Kč,14 989 Kč,125 185 230 Kč,257,3,223,"0,02670019157",269,3,"1,1",17,1,242,"3,00",SLABÉ,,,
NA,573973,Česká Čermná,528,"40,9",3%,128,2,431,23%,114,2,"1,1",106,2,63,119,274,4,10 248 Kč,13 364 Kč,7 055 949 Kč,398,5,22,"0,04166666667",144,2,"2,066666667",157,2,189,"2,71",SILNÉ,,,
NA,573981,Česká Metuje,298,"40,9",3%,127,2,343,-13%,417,5,"2,3",270,4,27,91,412,5,12 630 Kč,14 685 Kč,4 376 226 Kč,300,4,7,"0,02348993289",306,4,"2,733333333",243,3,296,"3,86",VELMI SLABÉ,,,
NA,573990,Česká Skalice,5 078,"44,4",-5%,382,5,5594,-9%,399,5,"2,4",284,4,638,126,234,3,11 512 Kč,15 388 Kč,78 142 801 Kč,212,3,129,"0,02540370224",285,4,1,1,1,257,"3,57",SLABÉ,,,
RK,576212,České Meziříčí,1 928,"39,2",7%,29,1,1522,27%,79,1,"1,8",198,3,233,121,264,3,13 358 Kč,15 532 Kč,29 944 902 Kč,197,3,95,"0,04927385892",113,2,"1,4",58,1,134,"2,00",VELMI SILNÉ,,,
RK,576221,Čestice,597,"40,3",4%,88,1,460,30%,70,1,"1,8",184,3,55,92,408,5,11 062 Kč,13 240 Kč,7 904 037 Kč,407,5,19,"0,03182579564",218,3,"1,933333333",136,2,216,"2,86",PRŮMĚRNÉ,,,
JC,572811,Češov,231,"46,7",-11%,430,5,234,-1%,322,4,"4,3",413,5,23,100,385,5,15 961 Kč,17 494 Kč,4 041 154 Kč,73,1,3,"0,01298701299",396,5,"3,4",349,4,338,"4,14",VELMI SLABÉ,,,
HK,569933,Čistěves,178,"38,1",9%,12,1,103,73%,13,1,"0,9",68,1,35,197,16,1,13 802 Kč,13 075 Kč,2 327 391 Kč,417,5,20,"0,1123595506",10,1,"3,266666667",326,4,123,"2,00",VELMI SILNÉ,,,
RK,576247,Deštné v Orlických horách,566,"44,6",-6%,389,5,587,-4%,346,4,"2,2",248,3,121,214,13,1,18 773 Kč,22 558 Kč,12 767 978 Kč,17,1,65,"0,1148409894",9,1,"1,6",86,1,158,"2,29",VELMI SILNÉ,,,
JC,572829,Dětenice,713,"42,5",-1%,253,3,799,-11%,407,5,"0,2",33,1,60,84,424,5,15 691 Kč,18 401 Kč,13 120 157 Kč,47,1,21,"0,02945301543",247,3,"1,666666667",94,2,215,"2,86",PRŮMĚRNÉ,,,
JC,549118,Dílce,58,"33,2",21%,1,1,51,14%,177,2,"0,0",1,1,8,138,166,2,14 798 Kč,15 369 Kč,891 390 Kč,217,3,1,"0,01724137931",361,5,"4,733333333",445,5,195,"2,71",SILNÉ,,,
HK,569941,Divec,236,"39,6",6%,43,1,97,143%,4,1,"1,9",215,3,42,178,34,1,12 471 Kč,14 008 Kč,3 305 796 Kč,351,4,30,"0,1271186441",7,1,"3,4",349,4,143,"2,14",VELMI SILNÉ,,,
