číslo úseku,TYP KOMUNIKACE - KÓDY,staničení od,staničení do,délka,komunikace,z,do,stavební stav,STAVEBNÍ STAV - KÓDY,POVRCH - KÓDY,vlastnické vztahy,doporučená opatření,investiční náklady,1000 Kč / km,DOTACE,info - dotace
46,4,"57,780","59,670",1 890,II/323,křiž. III/326 36,Staré Nechanice,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",100,50,,
47,4,"59,670","60,290",620,II/324,Staré Nechanice,Nechanice,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",40,50,,
48,4,"60,290","70,430",10 140,III/324 26,Nechanice,Stěžery,dobrý – zpevněný,1,1,Královéhradecký kraj,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",510,50,,
49,3,"70,430","71,260",830,MK,Stěžery,ul. Markova,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,30,25,,
50,5,"71,260","73,530",2 270,stezka,Stěžery,Hradec Králové,nezpevněný povrch,2,2,investiční akce Města Hradec Králové,,9 080,4000,,
51,3,"73,530","74,310",780,MK,Hradec Králové,ul. Zelená,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",40,50,,
52,3,"74,310","74,360",50,MK,Hradec Králové,ul. Pražská,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
53,3,"74,360","74,750",390,MK,Hradec Králové,ul. Krunertova,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",20,50,,
54,3,"74,750","74,940",190,MK,Hradec Králové,ul. Kudrnova,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
55,3,"74,940","75,440",500,MK,Hradec Králové,ul. Honkova,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",30,50,,
56,2,"75,440","75,890",450,stezka,Hradec Králové,ul. Jiřího z Purkuně,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,20,25,,
57,2,"75,890","76,840",950,stezka,Hradec Králové,ul. V Lipkách,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,30,25,,
58,2,"76,840","77,170",330,stezka,Hradec Králové,Tylovo nábřeží,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
59,2,"77,170","77,260",90,stezka,Hradec Králové,most Hučák,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
60,2,"77,260","77,360",100,MK,Hradec Králové,ul. Křižíkova,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
61,2,"77,360","77,860",500,stezka,Hradec Králové,ul. Křižíkova > zimní stadion > Moravský most,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,20,25,,
62,3,"77,860","78,060",200,MK,Hradec Králové,Orlické nábřeží,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
63,2,"78,060","78,310",250,stezka,Hradec Králové,letní kino,dobrý – zpevněný,1,1,obecní pozemky,svislé značení ,10,25,,
64,3,"78,310","78,650",340,MK,Hradec Králové,Orlické nábřeží,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",20,50,,
65,3,"78,650","78,760",110,MK,Hradec Králové,ul. Nezvalova > Malšovický most,dobrý – zpevněný,1,1,obecní pozemky,"svislé a vodorovné značení, cyklopruhy/cyklopiktogramy",10,50,,
66,2,"78,760","80,510",1 750,stezka,Hradec Králové,podél Orlice,dobrý – nezpevněný,1,2,obecní pozemky,svislé značení ,50,25,,
