Zřizovatel,Red IZO:,IČO:,Název organizace,Místo:,Ulice:,Č.p.:,Č.o.:,Městská část:,    IZO:,"Druh školy, školského zařízení:",Místo školy-zařízení:,Ulice školy-zařízení:,Č.p. školy-zařízení:,Č.o. školy-zařízení:,Městská část školy-zařízení:
5,600012271,62028561,"ACADEMIA MERCURII soukromá střední škola, s.r.o.",Náchod,Smiřických,740,,Náchod,    108024148,Střední škola,Náchod,Smiřických,740,,Náchod
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    181004917,Mateřská škola,Hradec Králové,Uhelná,1142,1,Slezské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    048162485,Základní škola,Hradec Králové,Nerudova,1180,28,Pražské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    110011473,Střední škola,Hradec Králové,Lidická,1175,2,Slezské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    110011481,Školní družina,Hradec Králové,Nerudova,1180,28,Pražské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    150061790,Školní klub,Hradec Králové,Nerudova,1180,28,Pražské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    110011490,Školní jídelna,Hradec Králové,Nerudova,1180,28,Pražské Předměstí
5,600023940,25262165,"Mateřská škola, základní škola a střední škola Daneta, s.r.o.",Hradec Králové,Nerudova,1180,28,Pražské Předměstí,    181004925,Školní jídelna - výdejna,Hradec Králové,Uhelná,1142,1,Slezské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    110032349,Mateřská škola,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    061223174,Základní škola,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    181073501,Střední škola,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    110032365,Stanice zájmových činností,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    110032357,Školní družina,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    151036918,Zařízení pro další vzdělávání pedagogických pracovníků,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    108007944,Speciálně pedagogické centrum,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600023958,25263633,"PROINTEPO - Střední škola, Základní škola a Mateřská škola s.r.o.",Hradec Králové,Hrubínova,1458,1,Pražské Předměstí,    110100468,Školní jídelna - výdejna,Hradec Králové,Hrubínova,1458,1,Pražské Předměstí
5,600024261,25299140,"Mateřská škola a Základní škola speciální NONA, o.p.s.",Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují,    181044536,Mateřská škola,Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují
5,600024261,25299140,"Mateřská škola a Základní škola speciální NONA, o.p.s.",Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují,    110000021,Základní škola,Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují
5,600024261,25299140,"Mateřská škola a Základní škola speciální NONA, o.p.s.",Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují,    150024738,Školní družina,Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují
5,600024261,25299140,"Mateřská škola a Základní škola speciální NONA, o.p.s.",Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují,    181024462,Školní jídelna - výdejna,Nové Město nad Metují,Rašínova,313,,Nové Město nad Metují
5,600034054,42883920,ADEVA - zařízení školního stravování s.r.o.,Kostelec nad Orlicí,,40,,Kostelecká Lhota,    110029551,Školní jídelna,Praha 5,Plzeňská,39,117,Košíře
5,650059794,25994581,"Základní škola Bodláka a Pampelišky, o.p.s.",Veliš,,40,,Veliš,    150059868,Základní škola,Veliš,,40,,Veliš
5,650059794,25994581,"Základní škola Bodláka a Pampelišky, o.p.s.",Veliš,,40,,Veliš,    150059876,Školní družina,Veliš,,40,,Veliš
5,650059794,25994581,"Základní škola Bodláka a Pampelišky, o.p.s.",Veliš,,40,,Veliš,    181003881,Školní klub,Jičín,,41,,Robousy
5,650059794,25994581,"Základní škola Bodláka a Pampelišky, o.p.s.",Veliš,,40,,Veliš,    181051397,Školní jídelna - výdejna,Jičín,,41,,Robousy
5,650059964,75015820,"Základní škola Sion J. A. Komenského, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    150059973,Základní škola,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
5,650059964,75015820,"Základní škola Sion J. A. Komenského, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    150059981,Školní družina,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
5,650059964,75015820,"Základní škola Sion J. A. Komenského, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    168102676,Školní klub,Hradec Králové,Mandysova,1434,1,Nový Hradec Králové
5,650059964,75015820,"Základní škola Sion J. A. Komenského, Hradec Králové",Hradec Králové,Na Kotli,1201,27,,    181015404,Školní jídelna - vývařovna,Hradec Králové,Kyjovská,550,38,Moravské Předměstí
