IZO,RED_MÍSTO,REDIZO,OBOR,OBOR_NAZ,FORMA
    110010264,Trutnov,600019829,78-42-M/04,Zdravotnické lyceum,denní
    110013387,Hradec Králové,600023974,78-62-C/01,Praktická škola jednoletá,denní
    110013387,Hradec Králové,600023974,78-62-C/02,Praktická škola dvouletá,denní
    110013450,Hradec Králové,600024016,29-51-E/01,Potravinářská výroba,denní
    110013450,Hradec Králové,600024016,29-54-H/01,Cukrář,denní
    110013450,Hradec Králové,600024016,33-42-L/51,Nábytkářská a dřevařská výroba,denní
    110013450,Hradec Králové,600024016,33-56-E/01,Truhlářská a čalounická výroba,denní
    110013450,Hradec Králové,600024016,33-56-H/01,Truhlář,denní
    110013450,Hradec Králové,600024016,34-53-L/01,Reprodukční grafik pro média,denní
    110013450,Hradec Králové,600024016,64-41-L/51,Podnikání,denní
    110013450,Hradec Králové,600024016,65-51-E/01,Stravovací a ubytovací služby,denní
    110013450,Hradec Králové,600024016,65-51-H/01,Kuchař - číšník,denní
    110013450,Hradec Králové,600024016,75-31-M/01,Předškolní a mimoškolní pedagogika,denní
    110013450,Hradec Králové,600024016,82-51-H/02,Umělecký truhlář a řezbář,denní
    062690400,Hradec Králové,600024024,23-51-E/01,Strojírenské práce,denní
    062690400,Hradec Králové,600024024,29-51-E/01,Potravinářská výroba,denní
    062690400,Hradec Králové,600024024,29-51-E/02,Potravinářské práce,denní
    062690400,Hradec Králové,600024024,36-64-E/01,Tesařské práce,denní
    062690400,Hradec Králové,600024024,36-67-E/01,Zednické práce,denní
    062690400,Hradec Králové,600024024,65-51-E/01,Stravovací a ubytovací služby,denní
    062690400,Hradec Králové,600024024,65-51-E/02,Práce ve stravování,denní
    062690400,Hradec Králové,600024024,66-51-E/01,Prodavačské práce,denní
    062690400,Hradec Králové,600024024,69-54-E/01,Provozní služby,denní
    062690400,Hradec Králové,600024024,75-41-E/01,Pečovatelské služby,denní
    000087998,Hořice,600024113,32-41-E/01,Kožedělná výroba,denní
    000087998,Hořice,600024113,33-56-E/01,Truhlářská a čalounická výroba,denní
    000087998,Hořice,600024113,36-57-E/01,Malířské a natěračské práce,denní
    000087998,Hořice,600024113,36-67-E/01,Zednické práce,denní
    000087998,Hořice,600024113,36-67-H/01,Zedník,denní
    000087998,Hořice,600024113,41-51-E/01,Zemědělské práce,denní
